;alias;group;group_idx;tab;dependencies;module;subject_args;project_args;additional_args;tooltip
apply_watershed;apply_watershed;mri_subject_operations;;Compute;;operations;mri_subject;subjects_dir;overwrite;
prepare_bem;prepare_bem;mri_subject_operations;;Compute;;operations;mri_subject;subjects_dir;;
make_dense_scalp_surfaces;make_dense_scalp_surfaces;mri_subject_operations;;Compute;;operations;mri_subject;subjects_dir;overwrite;
setup_src;setup_src;mri_subject_operations;;Compute;;operations;mri_subject;subjects_dir;source_space_method,overwrite,n_jobs;
compute_src_distances;compute_src_distances;mri_subject_operations;;Compute;;operations;mri_subject;subjects_dir;source_space_method,n_jobs;
setup_vol_src;setup_vol_src;mri_subject_operations;;Compute;;operations;mri_subject;subjects_dir;;
morph_subject;morph_subject;mri_subject_operations;;Compute;;operations;mri_subject;subjects_dir;morph_to,source_space_method,overwrite;
morph_labels_from_fsaverage;morph_labels_from_fsaverage;mri_subject_operations;;Compute;;operations;mri_subject;subjects_dir;overwrite;
plot_source_space;plot_source_space;mri_subject_operations;;Compute;;plot;mri_subject;subjects_dir,figures_path;source_space_method,save_plots;
plot_bem;plot_bem;mri_subject_operations;;Compute;;plot;mri_subject;subjects_dir,figures_path;source_space_method,save_plots;
plot_labels;plot_labels;mri_subject_operations;;Compute;;plot;mri_subject;figures_path;save_plots,parcellation;
filter_raw;filter_raw;sensor_space_operations;;Compute;;operations;name,save_dir,ermsub,bad_channels;data_path;highpass,lowpass,n_jobs,enable_cuda,erm_t_limit,enable_ica,eog_digitized;
find_events;find_events;sensor_space_operations;;Compute;;operations;name,save_dir;;adjust_timeline_by_msec,overwrite;
pp_event_handling;pp_event_handling;pinprick_functions;;Compute;;pinprick;name,save_dir;pscripts_path,figures_path,func_dict;adjust_timeline_by_msec,overwrite,save_plots;
melofix_event_handling;melofix_event_handling;custom_functions;;Compute;;melofix;name,save_dir;pscripts_path,figures_path,func_dict;adjust_timeline_by_msec,overwrite,save_plots;
kristin_event_handling;kristin_event_handling;custom_functions;;Compute;;kristin;name,save_dir;pscripts_path,figures_path,func_dict;adjust_timeline_by_msec,overwrite,save_plots;
find_eog_events;find_eog_events;sensor_space_operations;;Compute;;operations;name,save_dir;;eog_channel;
epoch_raw;epoch_raw;sensor_space_operations;;Compute;;operations;name,save_dir,bad_channels;pscripts_path;highpass,lowpass,event_id,t_epoch,baseline,reject,flat,autoreject,overwrite_ar,decim,reject_eog_epochs,overwrite;
